State,State ID,Data Item,Value
ALABAMA,01,CORN - ACRES PLANTED,350000.00
ARIZONA,04,CORN - ACRES PLANTED,95000.00
ARKANSAS,05,CORN - ACRES PLANTED,850000.00
CALIFORNIA,06,CORN - ACRES PLANTED,400000.00
COLORADO,08,CORN - ACRES PLANTED,1380000.00
CONNECTICUT,09,CORN - ACRES PLANTED,24000.00
DELAWARE,10,CORN - ACRES PLANTED,175000.00
FLORIDA,12,CORN - ACRES PLANTED,95000.00
GEORGIA,13,CORN - ACRES PLANTED,480000.00
IDAHO,16,CORN - ACRES PLANTED,380000.00
ILLINOIS,17,CORN - ACRES PLANTED,11000000.00
INDIANA,18,CORN - ACRES PLANTED,5400000.00
IOWA,19,CORN - ACRES PLANTED,12900000.00
KANSAS,20,CORN - ACRES PLANTED,5700000.00
KENTUCKY,21,CORN - ACRES PLANTED,1550000.00
LOUISIANA,22,CORN - ACRES PLANTED,580000.00
MAINE,23,CORN - ACRES PLANTED,30000.00
MARYLAND,24,CORN - ACRES PLANTED,470000.00
MASSACHUSETTS,25,CORN - ACRES PLANTED,14000.00
MICHIGAN,26,CORN - ACRES PLANTED,2350000.00
MINNESOTA,27,CORN - ACRES PLANTED,8400000.00
MISSISSIPPI,28,CORN - ACRES PLANTED,730000.00
MISSOURI,29,CORN - ACRES PLANTED,3600000.00
MONTANA,30,CORN - ACRES PLANTED,120000.00
NEBRASKA,31,CORN - ACRES PLANTED,9900000.00
NEVADA,32,CORN - ACRES PLANTED,15000.00
NEW HAMPSHIRE,33,CORN - ACRES PLANTED,13000.00
NEW JERSEY,34,CORN - ACRES PLANTED,78000.00
NEW MEXICO,35,CORN - ACRES PLANTED,120000.00
NEW YORK,36,CORN - ACRES PLANTED,1040000.00
NORTH CAROLINA,37,CORN - ACRES PLANTED,960000.00
NORTH DAKOTA,38,CORN - ACRES PLANTED,4100000.00
OHIO,39,CORN - ACRES PLANTED,3550000.00
OKLAHOMA,40,CORN - ACRES PLANTED,340000.00
OREGON,41,CORN - ACRES PLANTED,95000.00
PENNSYLVANIA,42,CORN - ACRES PLANTED,1330000.00
RHODE ISLAND,44,CORN - ACRES PLANTED,2000.00
SOUTH CAROLINA,45,CORN - ACRES PLANTED,400000.00
SOUTH DAKOTA,46,CORN - ACRES PLANTED,6150000.00
TENNESSEE,47,CORN - ACRES PLANTED,1010000.00
TEXAS,48,CORN - ACRES PLANTED,2150000.00
UTAH,49,CORN - ACRES PLANTED,70000.00
VERMONT,50,CORN - ACRES PLANTED,85000.00
VIRGINIA,51,CORN - ACRES PLANTED,510000.00
WASHINGTON,53,CORN - ACRES PLANTED,165000.00
WEST VIRGINIA,54,CORN - ACRES PLANTED,51000.00
WISCONSIN,55,CORN - ACRES PLANTED,3950000.00
WYOMING,56,CORN - ACRES PLANTED,95000.00
